province,year,month,ndvi,evi
Farah,2020,3,0.12111529464246452,0.0836160704082475
Faryab,2020,3,0.2741269839325771,0.17800940837689186
Ghazni,2020,3,0.05356503982335517,0.03215057895703517
Ghor,2020,3,0.06418978159562436,0.037701381525599084
Hilmand,2020,3,0.14897108882916282,0.10813703143005148
Hirat,2020,3,0.1620885520937018,0.10468373668703132
Jawzjan,2020,3,0.20507449742167144,0.1475774916880186
Kabul,2020,3,0.14627695429537826,0.08778423874526534
Kandahar,2020,3,0.16027897824122078,0.11152840958085004
Kapisa,2020,3,0.18726830362136723,0.11074796166085289
Kunar,2020,3,0.35972242099328444,0.1736987961787357
Kunduz,2020,3,0.24435207263786984,0.1561370773422506
Laghman,2020,3,0.24982106857877243,0.1453432627761623
Logar,2020,3,0.09416656208972081,0.057725148255237196
Nangarhar,2020,3,0.26042986649946154,0.1554140899268592
Nimroz,2020,3,0.0778262051912242,0.05957588038022866
Nuristan,2020,3,0.06564223315226676,0.02210079433471864
Paktya,2020,3,0.14426232962790497,0.08339806630957586
Samangan,2020,3,0.13860712053784657,0.09317725279475811
Sar-e-Pul,2020,3,0.14971870956767525,0.09752907254372141
Takhar,2020,3,0.14520879752388532,0.07914662292570757
Wardak,2020,3,0.009175719404391531,-0.0036177287341976655
Zabul,2020,3,0.12440190696133556,0.08111721456423458
Khost,2020,4,0.3051781366892177,0.17951854372698028
Paktika,2020,4,0.16316748817927063,0.10809455860888288
Daykundi,2020,4,0.15019808788053426,0.09547381046193025
Panjsher,2020,4,0.04744846154806719,0.010927006550194867
Parwan,2020,4,0.13461230136087066,0.0731674988642126
Uruzgan,2020,4,0.21754753768301685,0.1534684761463425
Badakhshan,2020,4,0.07414938219805936,0.029962889128499724
Badghis,2020,4,0.35906841724454924,0.24834704576801955
Baghlan,2020,4,0.21359189433037046,0.1278624138886131
Balkh,2020,4,0.20376603482168734,0.1507414223445086
Bamyan,2020,4,0.07536728750052474,0.043273904797641975
Farah,2020,4,0.13620932987167048,0.09649380397718016
Faryab,2020,4,0.3286732416878021,0.225278122674148
Ghazni,2020,4,0.13311737341095997,0.09185192199865332
Ghor,2020,4,0.1534143579936835,0.0998976155775999
Hilmand,2020,4,0.14289375480265964,0.10504153527262411
Hirat,2020,4,0.20846478498899385,0.14435398412768208
Jawzjan,2020,4,0.2343380727963754,0.17699581211305096
Kabul,2020,4,0.22079895799869492,0.139135985664934
Kandahar,2020,4,0.16823200031912072,0.12229228918419013
Kapisa,2020,4,0.2733185992526539,0.1692700103532149
Kunar,2020,4,0.4198399723245766,0.20457053527600658
Kunduz,2020,4,0.2755306469314787,0.1965832148631178
