province,year,month,precip_total_mm
Badakhshan,2013,7,24.437719380790416
Badghis,2013,7,0
Baghlan,2013,7,2.1040259771779053
Balkh,2013,7,0
Bamyan,2013,7,0.08661247701784142
Farah,2013,7,0
Faryab,2013,7,0
Ghazni,2013,7,4.727033398308642
Ghor,2013,7,0.11106017916885509
Hilmand,2013,7,0.00240168291571851
Hirat,2013,7,0.008130250362400252
Jawzjan,2013,7,0
Kabul,2013,7,4.2068026906348415
Kandahar,2013,7,2.779594657316449
Kapisa,2013,7,2.873797650531553
Kunar,2013,7,32.82584310082682
Kunduz,2013,7,0
Laghman,2013,7,8.968007019650084
Logar,2013,7,8.66103788893517
Nangarhar,2013,7,17.119976189593817
Nimroz,2013,7,0.023907823458330278
Nuristan,2013,7,17.65094125710021
Paktya,2013,7,21.8392724190468
Samangan,2013,7,0.011412127344470708
Sar-e-Pul,2013,7,0
Takhar,2013,7,7.326026200751899
Wardak,2013,7,2.7339435546635054
Zabul,2013,7,5.102005150775645
Khost,2013,8,124.6999993593578
Paktika,2013,8,29.109272313706768
Daykundi,2013,8,0.5743487947562345
Panjsher,2013,8,2.6910385032893758
Parwan,2013,8,0.5439131401395264
Uruzgan,2013,8,0.13491489605778814
Badakhshan,2013,8,11.471375164622822
Badghis,2013,8,0
Baghlan,2013,8,0.6160817904237357
Balkh,2013,8,0.0004918968670278341
Bamyan,2013,8,0.029184168745975205
Farah,2013,8,0
Faryab,2013,8,0
Ghazni,2013,8,1.8547830317515042
Ghor,2013,8,0.04776891676359023
Hilmand,2013,8,0.21302149394288053
Hirat,2013,8,0.003830662737598233
Jawzjan,2013,8,3.821385032795646e-05
Kabul,2013,8,3.913465549808959
Kandahar,2013,8,1.1057390816756347
Kapisa,2013,8,3.8268027023291955
Kunar,2013,8,52.15278440341244
Kunduz,2013,8,0
Laghman,2013,8,14.48047079119503
Logar,2013,8,6.834643221635086
Nangarhar,2013,8,35.86731219436728
Nimroz,2013,8,0.0843837709812982
Nuristan,2013,8,14.459497930380538
Paktya,2013,8,32.351140791107866
Samangan,2013,8,0
Sar-e-Pul,2013,8,0
Takhar,2013,8,1.6251913158273037
Wardak,2013,8,0.2486598533356262
Zabul,2013,8,2.5325234688604152
Khost,2013,9,33.67968071387361
Paktika,2013,9,2.424640157023058
Daykundi,2013,9,1.7240660519690587
Panjsher,2013,9,3.392314269455107
Parwan,2013,9,2.496058506028428
Uruzgan,2013,9,0
Badakhshan,2013,9,2.7606537037829364
Badghis,2013,9,0
Baghlan,2013,9,0.6165736218570452
Balkh,2013,9,0
Bamyan,2013,9,0.086812770929379
Farah,2013,9,0
Faryab,2013,9,0
Ghazni,2013,9,0.7395520462330717
Ghor,2013,9,0.05414102014041868
Hilmand,2013,9,0.002845001225961584
Hirat,2013,9,0.006345759783996754
Jawzjan,2013,9,0
Kabul,2013,9,0.6195832041514537
Kandahar,2013,9,0.02685847609257731
Kapisa,2013,9,3.5061853897804074
Kunar,2013,9,28.899374984609672
Kunduz,2013,9,0
Laghman,2013,9,12.073925911813415
Logar,2013,9,1.5676626558039404
Nangarhar,2013,9,15.18691484432602
Nimroz,2013,9,0.007367775467293952
Nuristan,2013,9,9.360856088907315
Paktya,2013,9,10.585155487799318
Samangan,2013,9,0.057133862116925796
Sar-e-Pul,2013,9,0
Takhar,2013,9,1.3184165043884812
Wardak,2013,9,0.0003090533423983326
Zabul,2013,9,0.43642360630553256
Khost,2013,10,11.054069552346197
Paktika,2013,10,0.6837171367236619
Daykundi,2013,10,8.329304440968716
Panjsher,2013,10,21.116377204463095
Parwan,2013,10,11.25427186236956
Uruzgan,2013,10,1.5057378099665757
Badakhshan,2013,10,12.296818194195298
Badghis,2013,10,7.633048595572104
Baghlan,2013,10,15.439056143415343
Balkh,2013,10,6.902357156474962
Bamyan,2013,10,7.614565060501268
Farah,2013,10,0.06309486182974396
Faryab,2013,10,6.158469789935781
Ghazni,2013,10,1.4369095727347883
Ghor,2013,10,7.916141536503261
Hilmand,2013,10,0.49838441317773935
Hirat,2013,10,1.5252109563000866
Jawzjan,2013,10,5.106876931311662
Kabul,2013,10,7.03500776976382
Kandahar,2013,10,0.13880416567462053
Kapisa,2013,10,11.907265028264352
Kunar,2013,10,22.12618376444818
Kunduz,2013,10,6.590074076962908
Laghman,2013,10,11.683962697707324
Logar,2013,10,5.945933648904014
Nangarhar,2013,10,13.28641843263731
Nimroz,2013,10,0
Nuristan,2013,10,13.610855109422888
Paktya,2013,10,8.306651159012569
Samangan,2013,10,12.074300633870918
Sar-e-Pul,2013,10,7.669438304885154
Takhar,2013,10,13.482676390702451
Wardak,2013,10,4.084384538987224
Zabul,2013,10,0.5777023969961067
Khost,2013,11,33.59944599751287
Paktika,2013,11,17.307002227796477
Daykundi,2013,11,31.541894641865145
Panjsher,2013,11,51.04942927343983
Parwan,2013,11,50.34038858902335
Uruzgan,2013,11,31.086347546167282
Badakhshan,2013,11,13.742191257627457
Badghis,2013,11,20.758898787794617
Baghlan,2013,11,48.97757388379724
Balkh,2013,11,8.583583491793616
Bamyan,2013,11,24.79817030248122
Farah,2013,11,11.128904289505115
Faryab,2013,11,18.629863508250704
Ghazni,2013,11,30.295820835822624
Ghor,2013,11,24.543494051031992
Hilmand,2013,11,11.012749631179314
Hirat,2013,11,19.579449084756355
Jawzjan,2013,11,8.75492341218965
Kabul,2013,11,37.11909026348849
Kandahar,2013,11,16.48651177780429
Kapisa,2013,11,39.39097007510304
Kunar,2013,11,57.50123456036597
Kunduz,2013,11,11.573894406269089
Laghman,2013,11,37.6825244295238
Logar,2013,11,34.88508802628184
Nangarhar,2013,11,40.99729790926066
Nimroz,2013,11,4.586646867208332
Nuristan,2013,11,35.26344093648042
Paktya,2013,11,34.813712230813636
Samangan,2013,11,19.80392007869835
Sar-e-Pul,2013,11,24.187157164597895
Takhar,2013,11,23.838589133802056
Wardak,2013,11,29.481400912865496
Zabul,2013,11,25.007264507044788
Khost,2013,12,9.09191356846826
Paktika,2013,12,8.651431412055555
Daykundi,2013,12,16.00239214210591
Panjsher,2013,12,33.338866413096646
Parwan,2013,12,34.827722729476406
Uruzgan,2013,12,23.708375187480193
Badakhshan,2013,12,36.39352598639865
Badghis,2013,12,35.38320829686871
Baghlan,2013,12,42.473758944546006
Balkh,2013,12,36.409202598079
Bamyan,2013,12,27.869973610243072
Farah,2013,12,7.9790237045164165
Faryab,2013,12,43.4551999779495
Ghazni,2013,12,12.580151339222349
Ghor,2013,12,20.798147071756826
Hilmand,2013,12,12.472358271748476
Hirat,2013,12,17.887076792831344
Jawzjan,2013,12,30.995845772266993
Kabul,2013,12,21.563805909810462
Kandahar,2013,12,14.959617400071213
Kapisa,2013,12,29.37976985138752
Kunar,2013,12,27.039817209352183
Kunduz,2013,12,47.028851962850176
Laghman,2013,12,17.79699144728432
Logar,2013,12,17.50976882520967
Nangarhar,2013,12,13.180749783649654
Nimroz,2013,12,3.9321372477511694
Nuristan,2013,12,28.04558418400345
Paktya,2013,12,17.381953053526843
Samangan,2013,12,43.69519659392096
Sar-e-Pul,2013,12,44.30286776494638
Takhar,2013,12,55.70228719206762
Wardak,2013,12,14.949712351386626
Zabul,2013,12,18.65306185194331
Khost,2014,1,16.03382197155462
Paktika,2014,1,14.54779853437738
Daykundi,2014,1,21.65919605770353
Panjsher,2014,1,21.24174845472889
Parwan,2014,1,33.499517065895404
Uruzgan,2014,1,26.353454459488123
Badakhshan,2014,1,11.81760969726341
Badghis,2014,1,28.912509897904506
Baghlan,2014,1,32.34978282826861
Balkh,2014,1,23.681909520778913
Bamyan,2014,1,25.556615383464653
Farah,2014,1,35.82501270161343
Faryab,2014,1,32.824971889516604
Ghazni,2014,1,16.389688434664215
Ghor,2014,1,31.635357540354352
Hilmand,2014,1,34.841101003842034
