province,year,month,vci,tci,vhi
Hirat,2022,1,20.06,60.89,40.47
Jawzjan,2022,1,33.67,30.64,32.16
Kabul,2022,1,8.63,80.14,44.38
Kandahar,2022,1,46.53,66.96,56.75
Kapisa,2022,1,33.81,71.76,52.79
Kunar,2022,1,0.0,62.04,31.02
Kunduz,2022,1,99.62,43.1,71.36
Laghman,2022,1,7.5,76.15,41.83
Logar,2022,1,14.0,76.61,45.31
Nangarhar,2022,1,6.89,82.32,44.6
Nimroz,2022,1,73.04,48.37,60.7
Nuristan,2022,1,14.21,63.8,39.0
Paktya,2022,1,24.04,71.83,47.94
Samangan,2022,1,93.73,58.03,75.88
Sar-e-Pul,2022,1,57.44,65.1,61.27
Takhar,2022,1,100.0,46.87,73.43
Wardak,2022,1,0.0,84.96,42.48
Zabul,2022,1,72.58,49.31,60.95
Khost,2022,2,67.32,54.64,60.98
Paktika,2022,2,79.06,35.7,57.38
Daykundi,2022,2,38.01,57.46,47.73
Panjsher,2022,2,45.86,59.16,52.51
Parwan,2022,2,42.76,56.42,49.59
Uruzgan,2022,2,45.58,48.46,47.02
Badakhshan,2022,2,37.17,73.29,55.23
Badghis,2022,2,50.01,53.42,51.72
Baghlan,2022,2,84.64,70.42,77.53
Balkh,2022,2,72.7,57.29,64.99
Bamyan,2022,2,31.05,66.55,48.8
Farah,2022,2,56.55,40.97,48.76
Faryab,2022,2,59.5,61.72,60.61
Ghazni,2022,2,59.91,41.98,50.94
Ghor,2022,2,17.14,68.6,42.87
Hilmand,2022,2,30.34,41.71,36.03
Hirat,2022,2,49.38,46.27,47.82
Jawzjan,2022,2,49.37,60.56,54.97
Kabul,2022,2,49.23,55.73,52.48
Kandahar,2022,2,37.17,37.34,37.26
Kapisa,2022,2,57.94,47.15,52.55
Kunar,2022,2,56.66,57.97,57.32
Kunduz,2022,2,100.0,42.26,71.13
Laghman,2022,2,55.98,51.72,53.85
Logar,2022,2,54.52,54.73,54.62
Nangarhar,2022,2,38.12,51.65,44.89
Nimroz,2022,2,14.68,55.39,35.04
Nuristan,2022,2,61.16,61.05,61.11
Paktya,2022,2,58.57,47.91,53.24
Samangan,2022,2,47.76,67.85,57.81
Sar-e-Pul,2022,2,83.36,62.09,72.73
Takhar,2022,2,93.57,67.12,80.34
Wardak,2022,2,25.74,64.67,45.21
Zabul,2022,2,74.74,29.94,52.34
Khost,2022,3,94.7,0.0,47.35
Paktika,2022,3,87.24,0.0,43.62
Daykundi,2022,3,97.23,0.0,48.62
Panjsher,2022,3,98.06,0.0,49.03
Parwan,2022,3,100.0,0.0,50.0
Uruzgan,2022,3,64.02,0.0,32.01
Badakhshan,2022,3,100.0,0.0,50.0
Badghis,2022,3,43.57,10.62,27.1
Baghlan,2022,3,100.0,12.89,56.44
Balkh,2022,3,63.47,50.77,57.12
Bamyan,2022,3,100.0,0.0,50.0
Farah,2022,3,91.18,6.5,48.84
Faryab,2022,3,81.34,42.72,62.03
Ghazni,2022,3,98.07,0.0,49.03
Ghor,2022,3,96.4,0.0,48.2
Hilmand,2022,3,42.19,4.18,23.18
Hirat,2022,3,56.58,5.88,31.23
Jawzjan,2022,3,58.89,41.59,50.24
Kabul,2022,3,93.81,0.0,46.91
Kandahar,2022,3,27.34,0.0,13.67
Kapisa,2022,3,96.51,0.0,48.25
Kunar,2022,3,84.55,0.0,42.27
Kunduz,2022,3,81.05,49.8,65.42
Laghman,2022,3,57.6,0.0,28.8
Logar,2022,3,92.51,0.0,46.26
Nangarhar,2022,3,42.85,0.0,21.43
Nimroz,2022,3,79.95,23.34,51.64
Nuristan,2022,3,100.0,0.0,50.0
Paktya,2022,3,91.18,0.0,45.59
Samangan,2022,3,100.0,0.0,50.0
Sar-e-Pul,2022,3,85.28,0.0,42.64
Takhar,2022,3,72.53,16.21,44.37
Wardak,2022,3,97.28,0.0,48.64
Zabul,2022,3,59.25,0.0,29.62
Khost,2022,4,0.0,0.0,0.0
Paktika,2022,4,11.91,0.0,5.96
Daykundi,2022,4,100.0,0.0,50.0
Panjsher,2022,4,100.0,0.0,50.0
Parwan,2022,4,100.0,0.0,50.0
Uruzgan,2022,4,8.02,0.0,4.01
Badakhshan,2022,4,100.0,0.0,50.0
Badghis,2022,4,28.11,23.42,25.76
Baghlan,2022,4,19.17,0.0,9.59
Balkh,2022,4,12.07,0.0,6.04
Bamyan,2022,4,100.0,0.0,50.0
Farah,2022,4,32.17,4.63,18.4
Faryab,2022,4,40.63,20.9,30.76
Ghazni,2022,4,85.71,0.0,42.86
Ghor,2022,4,84.33,0.0,42.16
Hilmand,2022,4,12.7,0.0,6.35
Hirat,2022,4,44.95,29.31,37.13
Jawzjan,2022,4,26.0,11.56,18.78
Kabul,2022,4,13.1,0.0,6.55
Kandahar,2022,4,14.96,0.0,7.48
Kapisa,2022,4,46.36,0.0,23.18
Kunar,2022,4,40.27,0.0,20.14
Kunduz,2022,4,12.87,0.0,6.43
Laghman,2022,4,0.0,0.0,0.0
Logar,2022,4,32.2,0.0,16.1
Nangarhar,2022,4,0.0,0.0,0.0
Nimroz,2022,4,5.46,0.0,2.73
Nuristan,2022,4,100.0,0.0,50.0
Paktya,2022,4,42.18,0.0,21.09
Samangan,2022,4,23.22,0.0,11.61
Sar-e-Pul,2022,4,21.13,0.0,10.57
Takhar,2022,4,11.86,0.0,5.93
Wardak,2022,4,100.0,0.0,50.0
Zabul,2022,4,5.63,0.0,2.82
Khost,2022,5,0.0,7.13,3.57
Paktika,2022,5,0.0,11.96,5.98
Daykundi,2022,5,0.0,0.0,0.0
Panjsher,2022,5,100.0,0.0,50.0
Parwan,2022,5,13.18,17.9,15.54
Uruzgan,2022,5,0.0,37.66,18.83
Badakhshan,2022,5,100.0,0.0,50.0
Badghis,2022,5,15.87,70.16,43.01
Baghlan,2022,5,4.46,2.09,3.27
